is_80s,is_90s,is_y2k,has_3d_emblem,has_single_stitch,is_vtg,size_s,size_m,size_l,size_xl,has_location,is_event_tee,has_year,condition,sold_price
0,0,0,0,0,1,0,0,1,0,0,0,1,3,20.0
0,0,0,0,0,1,0,1,0,0,0,0,0,3,12.0
0,0,1,0,0,1,0,0,0,1,0,1,1,5,24.99
0,1,0,0,0,1,0,0,0,1,0,1,1,3,22.99
0,0,0,0,0,1,0,0,0,1,0,0,0,3,14.99
0,0,0,0,0,1,0,0,0,1,1,0,0,3,42.49
0,0,0,0,1,1,0,0,0,1,0,0,1,3,50.0
0,0,0,0,0,1,0,0,0,1,0,0,0,3,19.99
0,0,0,0,0,1,0,0,0,1,0,0,0,3,15.95
0,0,0,0,0,1,0,0,0,0,0,0,0,3,32.0
0,0,0,0,0,0,0,0,0,1,0,0,0,4,50.0
0,0,0,0,0,1,0,0,1,0,0,0,0,3,12.0
0,0,0,1,1,1,0,0,1,0,0,0,1,3,149.99
1,0,0,1,0,1,0,0,1,0,0,0,0,3,67.0
0,0,0,0,0,1,0,0,0,1,0,0,0,3,30.0
0,0,0,0,0,1,0,0,0,1,0,0,0,3,26.0
0,0,0,0,0,1,0,0,0,1,0,0,0,3,71.0
0,0,0,0,0,1,0,0,0,1,0,0,0,3,45.0
1,0,0,0,0,1,0,0,0,1,0,0,0,3,110.0
0,0,0,0,0,1,0,0,0,1,0,0,0,3,12.71
0,0,0,0,0,1,0,0,0,1,0,0,0,3,44.99
0,0,0,0,0,1,0,0,0,1,0,0,1,3,34.99
0,1,0,0,0,1,0,0,1,0,0,0,1,3,11.28
0,0,0,1,0,1,0,0,1,0,1,0,0,3,53.33
0,0,0,0,0,1,0,0,0,1,0,0,0,3,25.0
0,0,0,0,0,1,0,0,0,1,0,0,1,3,25.0
0,0,0,0,0,1,0,0,0,1,0,0,1,3,25.0
0,0,0,0,0,1,0,0,0,1,0,0,0,3,22.99
0,0,0,0,0,1,0,0,0,1,0,0,0,3,17.49
1,0,0,0,0,1,0,0,1,0,0,0,0,3,80.0
0,0,0,0,0,1,0,0,0,1,0,0,0,3,49.99
0,0,0,0,1,1,0,0,0,1,0,0,0,3,150.0
0,0,1,0,0,1,0,0,0,1,1,0,1,3,17.84
0,0,0,0,0,1,0,0,1,0,0,1,0,3,15.3
0,0,1,0,0,1,0,0,0,1,0,0,1,3,17.0
0,1,0,0,0,1,0,0,0,1,0,0,0,3,15.0
0,0,1,0,0,1,0,0,0,1,0,0,0,3,19.95
